"treatment","comp","plot_id","period","fuels_recovery_rate","surface_carbon","fuels_disturbance"
"burn",400,"0400-00116","Burn_2",0.439516480408667,14.926794348555,-12.161161524555
"burn",400,"0400-00118","Burn_2",5.211715041962,4.234342956118,0
"burn",400,"0400-00119","Burn_2",2.05787910930342,12.71390552761,-12.69636531161
"burn",400,"0400-00120","Burn_2",0.7567679123795,17.57727465954,-16.2201456384915
"burn",400,"0400-00121","Burn_2",2.33033357719017,7.771491353175,-4.528562940991
"control",40,"0040-00002","Burn_2",2.25811431493357,6.732915178565,-1.2701423956575
"control",40,"0040-00003","Burn_2",1.45844401205171,7.817016996698,-0.0327295457261669
"control",40,"0040-00005","Burn_2",-1.15429956164857,27.1620990811,-0.924050461918334
"control",40,"0040-00007","Burn_2",2.09810549150364,9.6588887886395,0.0864692267455001
"control",40,"0040-00012","Burn_2",2.28306562637214,4.91208651235,-4.7570275349775
"control",40,"0040-00101","Burn_2",-0.144203121745714,17.86408428021,2.3921490667575
"control",40,"0040-00103","Burn_2",0.00805136887235694,11.9040488281085,-1.49917490840692
"control",40,"0040-00104","Burn_2",-1.18550719543029,17.38660506277,-1.91105798335
"control",40,"0040-00105","Burn_2",-1.33291666859479,14.96609112766,1.25272162445417
"control",40,"0040-00106","Burn_2",-1.50013239904321,21.2647875554,1.98413202022333
"control",40,"0040-00107","Burn_2",-0.813361925548786,12.153803897375,-0.401706083664166
