"","treatment","timestep","treatment_factor","timestep_factor","comp","plot_id","fire_tolerate_carbon","tree_carbon","fire_percentage","fire_percentage_01"
"136","control","pre_treatment","control","pre_treatment",240,"0240-00003",30.2710096403079,90.334845650073,33.5097817707772,0.335097817707772
"137","control","pre_treatment","control","pre_treatment",240,"0240-00005",2.05162529993592,84.8303584483195,2.41850363179335,0.0241850363179335
"138","control","pre_treatment","control","pre_treatment",240,"0240-00007",89.5041972134561,141.79106293949,63.124004685438,0.63124004685438
"139","control","pre_treatment","control","pre_treatment",240,"0240-00009",8.56247429251668,139.563160918572,6.1351965921096,0.061351965921096
"140","control","pre_treatment","control","pre_treatment",240,"0240-00026",40.3369982642116,140.8182413777,28.6447251929674,0.286447251929674
"141","control","pre_treatment","control","pre_treatment",240,"0240-00102",86.2801739580507,197.083037571682,43.7785894824506,0.437785894824506
"142","control","pre_treatment","control","pre_treatment",240,"0240-00105",78.4082240258403,163.721706460618,47.8911597740407,0.478911597740407
"143","control","pre_treatment","control","pre_treatment",240,"0240-00107",40.387027301325,61.9397596623516,65.2037197455791,0.65203719745579
"144","control","pre_treatment","control","pre_treatment",240,"0240-00109",37.0643341890382,153.887552242195,24.0853361100349,0.240853361100349
"145","control","pre_treatment","control","pre_treatment",240,"0240-00110",0.515813740591909,84.9270779397298,0.607360753607897,0.00607360753607897
"146","control","pre_treatment","control","pre_treatment",240,"0240-00113",85.2918939342223,208.076094170201,40.9907223001099,0.409907223001099
"147","control","pre_treatment","control","pre_treatment",240,"0240-00114",111.030510280686,151.119541974836,73.4719737961981,0.734719737961981
"148","control","pre_treatment","control","pre_treatment",240,"0240-00115",34.7361316464977,202.839840832918,17.1249057896424,0.171249057896424
"149","control","pre_treatment","control","pre_treatment",590,"0590-00005",53.4992421304312,131.593802775661,40.6548340438462,0.406548340438462
"150","control","pre_treatment","control","pre_treatment",590,"0590-00009",38.6066121993999,114.920277980663,33.5942558422076,0.335942558422076
"151","control","pre_treatment","control","pre_treatment",590,"0590-00013",37.223135418,150.140032716915,24.7922787443261,0.247922787443261
"152","control","pre_treatment","control","pre_treatment",590,"0590-00021",45.9340674501414,118.854448702738,38.6473270050035,0.386473270050035
"153","control","pre_treatment","control","pre_treatment",590,"0590-00102",83.2497270241923,113.899042612241,73.0908049048391,0.730908049048391
"154","control","pre_treatment","control","pre_treatment",590,"0590-00104",4.04543784890621,88.1227277313698,4.59068614085367,0.0459068614085367
"155","control","pre_treatment","control","pre_treatment",590,"0590-00105",69.5676355895289,178.021732042238,39.0781702837399,0.390781702837399
"156","control","pre_treatment","control","pre_treatment",590,"0590-00106",159.002812483889,242.217561521787,65.6446260481355,0.656446260481355
"157","control","pre_treatment","control","pre_treatment",590,"0590-00107",132.590570664176,172.140982532597,77.0244068050837,0.770244068050837
"158","control","pre_treatment","control","pre_treatment",590,"0590-00109",193.396848966356,271.982829649594,71.1062713832033,0.711062713832033
"159","control","pre_treatment","control","pre_treatment",590,"0590-00111",98.8353778671228,263.1246239705,37.5621925366452,0.375621925366452
"160","control","pre_treatment","control","pre_treatment",590,"0590-00113",99.3421054374509,207.236249615903,47.9366450713011,0.47936645071301
"161","control","pre_treatment","control","pre_treatment",590,"0590-00115",55.2654367657712,134.016559835688,41.2377670591828,0.412377670591828
"162","control","pre_treatment","control","pre_treatment",590,"0590-00116",0.37308271369176,102.166615216661,0.365170866139178,0.00365170866139178
"163","control","pre_treatment","control","pre_treatment",590,"0590-00117",59.0489367304819,61.4193947913614,96.1405382307464,0.961405382307464
"164","control","pre_treatment","control","pre_treatment",590,"0590-00118",88.3279483561161,198.786418672654,44.4335930723556,0.444335930723556
"165","mech","post_18","mech","post_18",190,"0190-00010",58.146581517192,149.085876648018,39.0020723790439,0.390020723790439
"166","mech","post_18","mech","post_18",190,"0190-00026",35.874807471221,171.839533510542,20.8769232191963,0.208769232191963
"167","mech","post_18","mech","post_18",190,"0190-00027",0.356638255081279,98.9102288017516,0.360567617122895,0.00360567617122895
"168","mech","post_18","mech","post_18",190,"0190-00104",129.371340965026,183.336819948822,70.5648439855888,0.705648439855888
"169","mech","post_18","mech","post_18",190,"0190-00110",68.6315979851585,153.023193583178,44.850454612851,0.44850454612851
"170","mech","post_18","mech","post_18",190,"0190-00111",141.518511360261,240.11028552595,58.9389625897413,0.589389625897413
"171","mech","post_18","mech","post_18",190,"0190-00113",159.213250720487,300.789133356043,52.9318492806143,0.529318492806143
"172","mech","post_18","mech","post_18",190,"0190-00114",0.214141163223956,170.177236213094,0.125834199678628,0.00125834199678628
"173","mech","post_18","mech","post_18",350,"0350-00002",124.000832817316,178.529537026857,69.456760423157,0.69456760423157
"174","mech","post_18","mech","post_18",350,"0350-00003",58.8670719614849,100.860711366453,58.3647201808897,0.583647201808897
"175","mech","post_18","mech","post_18",350,"0350-00005",127.608527863762,242.864922258418,52.5430048428244,0.525430048428244
"176","mech","post_18","mech","post_18",350,"0350-00106",42.415949432043,146.34304640588,28.9839185897517,0.289839185897517
"177","mech","post_18","mech","post_18",350,"0350-00111",306.89562018854,392.520007340468,78.1859814657402,0.781859814657402
"178","mech","post_18","mech","post_18",350,"0350-00116",143.375764564294,266.542376194643,53.7909831116662,0.537909831116662
"179","mech","post_18","mech","post_18",350,"0350-00119",85.7088823827572,206.11413279841,41.5832147068657,0.415832147068657
"180","mech","post_18","mech","post_18",490,"0490-00018",0.0543400777666808,79.632842226436,0.0682382748717731,0.000682382748717731
"181","mech","post_18","mech","post_18",490,"0490-00033",0.270166883768704,100.286975681554,0.269393789106352,0.00269393789106352
"182","mech","post_18","mech","post_18",490,"0490-00035",96.3243127263696,200.47519001228,48.0479967224221,0.480479967224221
"183","mech","post_18","mech","post_18",490,"0490-00041",198.308433855807,359.872519755557,55.1051894683451,0.551051894683451
"184","mech","post_18","mech","post_18",490,"0490-00102",257.262168500765,263.605969011295,97.593453390178,0.97593453390178
"185","mech","post_18","mech","post_18",490,"0490-00103",143.406545323036,277.049257593628,51.7621113908137,0.517621113908136
"186","mech","post_18","mech","post_18",490,"0490-00104",199.934200990363,256.846796980628,77.8418120610017,0.778418120610017
"187","mech","post_18","mech","post_18",490,"0490-00105",92.6283124404914,177.280237763669,52.2496549017344,0.522496549017344
"188","mech","post_18","mech","post_18",490,"0490-00110",0.356638255081279,115.591838729042,0.308532383430003,0.00308532383430003
"189","mech","post_18","mech","post_18",490,"0490-00115",304.922982893473,351.143014138627,86.837263056896,0.86837263056896
"190","mech","post_18","mech","post_18",490,"0490-00117",152.980900483568,218.910816435677,69.8827508728966,0.698827508728966
"191","mech","post_18","mech","post_18",490,"0490-00120",0.274030179857848,135.37483041824,0.202423285784538,0.00202423285784538
