"","treatment","timestep","comp","plot_id","tree_carbon","understory_carbon","fuels_carbon","soil_carbon","all_carbon","treatment_factor","timestep_factor"
"85","burn","pre_treatment",340,"0340-00113",260.031158864205,0.102735711,70.217458325765,42.3267950032917,372.678147904262,"burn","pre_treatment"
"86","burn","pre_treatment",340,"0340-00114",195.414425398412,1.420227593,64.825464084725,50.7560052814869,312.416122357623,"burn","pre_treatment"
"87","burn","pre_treatment",340,"0340-00115",77.573164562608,0,20.559307631478,63.6072388697283,161.739711063814,"burn","pre_treatment"
"88","burn","pre_treatment",340,"0340-00116",173.535717200747,1.013784749,16.452009475813,55.469905993744,246.471417419304,"burn","pre_treatment"
"89","burn","pre_treatment",340,"0340-00117",182.599224361123,1.429154755,24.0516163677875,47.1137498033428,255.193745287254,"burn","pre_treatment"
"90","burn","pre_treatment",340,"0340-00121",172.578659126526,5.17375952,27.504542520395,45.8084134827694,251.06537464969,"burn","pre_treatment"
"91","burn","pre_treatment",340,"0340-00122",139.979525899279,0.979194039,90.06164290711,51.844384381797,282.864747227186,"burn","pre_treatment"
"92","burn","pre_treatment",340,"0340-00123",231.921806481441,0.575251195,20.41090827283,52.3303936453826,305.238359594654,"burn","pre_treatment"
"93","burn","pre_treatment",340,"0340-00124",131.445237228661,0.122127543,80.46143963424,62.9899696520794,275.018774057981,"burn","pre_treatment"
"94","burn","pre_treatment",400,"0400-00002",92.2602426834873,0,10.584473605147,66.1885977967459,169.03331408538,"burn","pre_treatment"
"95","burn","pre_treatment",400,"0400-00009",161.323522851228,0,35.155387405682,58.2368728056807,254.715783062591,"burn","pre_treatment"
"96","burn","pre_treatment",400,"0400-00022",189.588648383123,0,93.87084184303,57.2209729082782,340.680463134431,"burn","pre_treatment"
"97","burn","pre_treatment",400,"0400-00023",49.2411316606315,0,17.416177185036,47.3615778395822,114.01888668525,"burn","pre_treatment"
